Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
866,Cranidos,,408,♀,1008,106,,,,82.2,20.0,20.0,Zen Headbutt,Ancient Power,,"2026-07-30 08:40","2026-07-30 08:40",,48.91kg,1.09m,0,0,0,2500,63.39%,1389,95.45%,70000,62,Cranidos,,0,79.62%,546,96.99%,47000,92,Rampardos,,0,,,,,,,,,
867,Cottonee,,546,♂,380,80,12,12,14,84.4,20.0,20.0,,,,"2026-07-30 08:40","2026-07-30 08:40",5/27/2023,,,0,0,0,2500,51.82%,1974,94.65%,43000,88,Whimsicott,,0,98.05%,81,96.78%,475000,298,Whimsicott,,0,38.39%,2524,90.16%,39000,34,Cottonee,,0,
868,Cottonee,,546,♂,375,80,4,4,4,26.7,23.5,23.5,,,,"2026-07-30 08:40","2026-07-30 08:40",5/27/2023,,,0,0,0,2500,68.01%,1311,95.47%,49500,93,Whimsicott,,0,9.91%,3690,82.84%,454500,279,Whimsicott,,0,61.95%,1559,92.56%,82500,73,Cottonee,,0,
869,Cottonee,,546,♂,553,97,12,12,15,86.7,29.0,29.0,,,,"2026-07-30 08:40","2026-07-30 08:40",3/8/2023,0.79kg,0.37m,0,0,0,5000,97.88%,88,94.21%,410000,190,Cottonee,,0,98.05%,81,96.78%,410000,240,Whimsicott,,0,,,,,,,,,
870,Chingling,,433,♂,557,83,13,14,12,86.7,20.0,20.0,Astonish,Wrap,,"2026-07-30 08:39","2022-10-14 09:51",9/13/2022,,,0,0,0,2500,42.71%,2347,94.43%,20500,69,Chimecho,,0,97.36%,109,98.10%,460000,298,Chimecho,,0,,,,,,,,,
871,Chingling,,433,♀,557,83,13,14,12,86.7,20.0,20.0,Astonish,Shadow Ball,,"2026-07-30 08:39","2026-07-30 08:39",8/1/2023,0.44kg,0.16m,0,0,0,2500,42.71%,2347,94.43%,20500,69,Chimecho,,0,97.36%,109,98.10%,460000,298,Chimecho,,0,,,,,,,,,
872,Chingling,,433,♂,550,84,11,14,13,84.4,20.0,20.0,,,,"2026-07-30 08:39","2026-07-30 08:39",4/9/2023,3kg,70.17m,0,0,0,2500,37.12%,2576,94.18%,20500,69,Chimecho,,0,99.41%,25,98.85%,475000,298,Chimecho,,0,,,,,,,,,
873,Chingling,,433,♂,550,84,,,,83.3,20.0,20.0,Zen Headbutt,Shadow Ball,,"2026-07-30 08:39","2026-07-30 08:39",,0.42kg,0.17m,0,0,0,2500,34.75%,1890,94.94%,20500,69,Chimecho,,0,97.81%,23,98.86%,475000,298,Chimecho,,0,,,,,,,,,
874,Chimecho,,358,♂,943,100,13,11,13,82.2,15.0,15.0,,,,"2026-07-30 08:39","2026-07-30 08:39",1/12/2023,,70.63m,0,0,0,1900,26.42%,3014,93.64%,41900,39,Chimecho,,0,98.02%,82,98.29%,496400,268,Chimecho,,0,,,,,,,,,
875,Chimecho,,358,♀,1900,141,15,10,13,84.4,30.0,30.0,Extrasensory,Psyshock,,"2026-07-30 08:39","2026-07-30 08:38",11/21/2023,0.98kg,0.57m,0,0,0,5000,,,,,,,,,95.70%,177,97.60%,385000,182,Chimecho,,0,,,,,,,,,
876,Chespin,,650,♂,109,41,1,8,5,31.1,4.5,4.5,Vine Whip,,,"2026-07-30 08:38","2026-07-30 08:38",1/7/2023,8.49kg,0.38m,0,0,0,400,79.56%,838,96.91%,268000,322,Quilladin,,0,69.45%,1252,96.81%,188000,314,Chesnaught,,0,92.53%,307,96.20%,38000,45,Chespin,,0,
877,Chespin,,650,♂,460,83,15,11,14,88.9,15.0,15.0,,,,"2026-07-30 08:38","2026-07-30 08:38",1/7/2023,,,0,0,0,1900,44.86%,2259,94.98%,118400,131,Quilladin,,0,6.57%,3827,93.97%,91400,207,Chesnaught,,0,22.27%,3184,90.48%,3800,4,Chespin,,0,
878,Chespin,,650,♂,437,83,1,1,1,6.7,17.5,17.5,,,,"2026-07-30 08:38","2026-07-30 08:38",,,,0,0,0,1900,56.61%,1778,95.57%,300600,283,Quilladin,,0,61.47%,1579,96.47%,189600,317,Chesnaught,,0,83.13%,692,95.05%,11600,10,Chespin,,0,
879,Chespin,,650,♂,594,93,9,2,2,28.9,22.0,22.0,,,,"2026-07-30 08:38","2026-07-30 08:38",1/7/2023,,,0,0,0,3000,14.16%,3516,93.30%,185000,221,Quilladin,,0,14.11%,3518,94.48%,119000,237,Chesnaught,,0,,,,,,,,,
880,Chespin,,650,♂,599,96,13,1,10,53.3,21.0,21.0,Take Down,,,"2026-07-30 08:38","2026-07-30 08:38",1/7/2023,6.52kg,0.35m,0,0,0,3000,12.06%,3602,93.16%,140000,161,Quilladin,,0,16.63%,3415,94.63%,98000,213,Chesnaught,,0,,,,,,,,,
881,Chansey,,113,♀,527,258,15,10,13,84.4,15.0,15.0,,,,"2026-07-30 08:38","2026-07-30 08:38",7/28/2026,3.33kg,71.02m,0,0,0,1900,9.60%,3703,91.93%,16400,66,Blissey,,0,7.42%,3792,92.96%,144400,184,Blissey,,0,,,,,,,,,
882,Chansey,,113,♀,527,258,,,,88.1,15.0,15.0,Zen Headbutt,Psychic,,"2026-07-30 08:38","2026-07-30 08:38",,29.65kg,1.02m,0,0,0,1900,19.68%,2988,93.33%,16400,66,Blissey,,0,20.99%,2865,94.38%,144400,184,Blissey,,0,,,,,,,,,
883,Buzzwole,,794,,1924,135,11,15,10,80.0,20.0,20.0,Poison Jab,Power-Up Punch,,"2026-07-30 08:37","2022-08-27 16:08",8/27/2022,435.67kg,2.75m,0,0,0,2500,,,,,,,,,27.64%,2964,94.80%,35000,31,Buzzwole,,0,,,,,,,,,
884,Buzzwole,,794,,1924,135,11,15,10,80.0,20.0,20.0,,,,"2026-07-30 08:37","2026-07-30 08:37",8/27/2022,3.3gkg,7m,0,0,0,2500,,,,,,,,,27.64%,2964,94.80%,35000,31,Buzzwole,,0,,,,,,,,,
885,Bunnelby,,659,♀,221,66,11,13,13,82.2,15.0,15.0,,,,"2026-07-30 08:37","2026-07-30 08:37",4/12/2023,.13kg,70.43m,0,0,0,1900,62.00%,1557,94.58%,299400,318,Diggersby,,0,95.90%,169,95.17%,496400,318,Diggersby,,0,68.62%,1286,91.48%,199400,202,Bunnelby,,0,
886,Bunnelby,,659,♂,247,69,15,12,14,91.1,16.0,16.0,Quick Attack,Earthquake,,"2026-07-30 08:37","2026-07-30 08:37",7/3/2023,8.89kg,0.66m,0,0,0,1900,32.41%,2769,92.96%,242600,314,Diggersby,,0,99.54%,20,98.24%,492600,314,Diggersby,,0,41.49%,2397,88.95%,147600,138,Bunnelby,,0,
887,Buneary,,427,♂,418,72,13,14,11,84.4,12.0,12.0,,,,"2026-07-30 08:37","2026-07-30 08:37",7/23/2026,3111kg,70.57m,0,0,0,1300,51.26%,1997,94.51%,69400,116,Lopunny,Normal,0,97.68%,96,96.38%,505400,330,Lopunny,Normal,0,31.16%,2820,91.49%,5800,8,Buneary,,0,
888,Buneary,,427,♀,597,86,3,13,3,42.2,19.0,19.0,,,,"2026-07-30 08:37","2026-07-30 08:37",4/5/2023,,,0,0,0,2500,92.01%,328,97.00%,65500,108,Lopunny,Normal,0,28.77%,2918,85.91%,480000,302,Lopunny,Normal,0,,,,,,,,,
889,Buneary,,427,♂,912,108,12,15,14,91.1,26.0,26.0,,,,"2026-07-30 08:36","2026-07-30 08:36",4/10/2023,3kg,137m,0,0,0,4000,79.17%,854,96.00%,0,50,Lopunny,Normal,0,99.12%,37,97.59%,436000,264,Lopunny,Normal,0,,,,,,,,,
890,Buneary,,427,♂,912,108,,,,88.9,26.0,26.0,,,,"2026-07-30 08:36","2026-07-30 08:36",,5.94kg,0.4m,0,0,0,4000,73.24%,854,96.00%,0,50,Lopunny,Normal,0,98.75%,37,97.59%,436000,264,Lopunny,Normal,0,,,,,,,,,
891,Budew,,406,♂,467,79,11,15,13,86.7,20.0,20.0,,,,"2026-07-30 08:36","2026-07-30 08:36",9/5/2023,,,0,0,0,2500,47.57%,2148,94.97%,60500,79,Roselia,,0,73.31%,1094,97.09%,75000,191,Roserade,,0,44.27%,2283,91.31%,5000,4,Budew,,0,
892,Budew,,406,♂,454,79,1,1,1,6.7,24.0,24.0,,,,"2026-07-30 08:36","2026-07-30 08:36",,,,0,0,0,2500,50.06%,2046,95.08%,137000,163,Roselia,,0,24.62%,3088,95.26%,145000,273,Roserade,,0,47.81%,2138,91.58%,15000,12,Budew,,0,
893,Budew,,406,♂,470,80,13,10,15,84.4,20.0,20.0,,,,"2026-07-30 08:36","2026-07-30 08:36",9/5/2023,,,0,0,0,2500,35.38%,2647,94.39%,60500,79,Roselia,,0,70.33%,1216,96.97%,75000,191,Roserade,,0,32.99%,2745,90.45%,5000,4,Budew,,0,
894,Budew,,406,♂,473,80,2,2,2,13.3,24.5,24.5,,,,"2026-07-30 08:36","2026-07-30 08:36",,,,0,0,0,2500,45.30%,2241,94.87%,117500,140,Roselia,,0,29.38%,2893,95.45%,133500,260,Roserade,,0,48.28%,2119,91.62%,7500,6,Budew,,0,
895,Budew,,406,♀,472,79,12,15,13,88.9,20.0,20.0,,,,"2026-07-30 08:36","2026-07-30 08:36",3/20/2023,,70.17m,0,0,0,2500,57.70%,1733,95.45%,60500,79,Roselia,,0,19.93%,3280,95.06%,70000,187,Roserade,,0,55.68%,1816,92.20%,5000,4,Budew,,0,
896,Budew,,406,♀,473,80,14,10,14,84.4,20.0,20.0,Razor Leaf,,,"2026-07-30 08:36","2026-07-30 08:36",6/28/2023,1.23kg,0.21m,0,0,0,2500,27.59%,2966,93.99%,60500,79,Roselia,,0,59.66%,1653,96.56%,75000,191,Roserade,,0,44.42%,2277,91.32%,5000,4,Budew,,0,
897,Bonsly,,438,♀,723,90,12,14,14,88.9,20.0,20.0,,,,"2026-07-30 08:36","2026-07-30 08:36",4/11/2023,,,0,0,0,2500,22.61%,3170,93.43%,27500,75,Sudowoodo,,0,98.93%,45,97.21%,475000,298,Sudowoodo,,0,,,,,,,,,
898,Bonsly,,438,♀,726,87,15,13,10,84.4,20.0,20.0,,,,"2026-07-30 08:35","2026-07-30 08:35",3/20/2023,9.89kg,0.38m,0,0,0,2500,14.77%,3491,92.95%,27500,75,Sudowoodo,,0,97.09%,120,95.80%,475000,298,Sudowoodo,,0,,,,,,,,,
899,Blitzle,,522,♂,370,72,15,13,13,91.1,15.0,15.0,Spark,Discharge,,"2026-07-30 08:35","2026-07-30 08:35",10/17/2022,32.95kg,0.84m,0,0,0,1900,32.21%,2777,94.33%,29400,77,Zebstrika,,0,62.98%,1517,95.85%,310400,318,Zebstrika,,0,50.13%,2043,92.16%,21400,20,Blitzle,,0,
900,Bidoof,,399,♂,198,70,14,10,15,86.7,10.0,10.0,,,,"2026-07-30 08:35","2026-07-30 08:35",3/7/2023,,,0,0,0,1000,53.70%,1897,95.32%,105000,150,Bibarel,,0,97.22%,115,95.72%,510000,336,Bibarel,,0,30.72%,2838,89.91%,66000,66,Bidoof,,0,
901,Bidoof,,399,♂,181,70,2,2,2,13.3,11.5,11.5,,,,"2026-07-30 08:35","2026-07-30 08:35",,,,0,0,0,1000,53.38%,1910,95.31%,209700,266,Bibarel,,0,1.76%,4024,78.25%,506700,332,Bibarel,,0,66.30%,1381,93.23%,147700,140,Bidoof,,0,
902,Bidoof,,399,♀,415,105,7,15,15,82.2,22.0,22.0,,,,"2026-07-30 08:35","2026-07-30 08:35",2/10/2023,3.33kg,70.51m,0,0,0,3000,88.50%,472,97.34%,64000,106,Bibarel,,0,96.85%,130,95.48%,464000,288,Bibarel,,0,91.70%,341,96.03%,32000,28,Bidoof,,0,
903,Beldum,,374,,682,86,15,14,10,86.7,25.0,25.0,,,,"2026-07-30 08:35","2026-07-30 08:35",,157.9kg,0.74m,0,2,0,3600,30.23%,2858,93.93%,59400,80,Metang,,2,98.12%,78,96.67%,399600,232,Metang,,2,,,,,,,,,
904,Beldum,,374,,763,94,14,12,14,88.9,28.0,28.0,,,,"2026-07-30 08:35","2026-07-30 08:34",9/26/2023,139.13kg,0.75m,0,0,0,4500,43.00%,2335,94.60%,41000,61,Metang,,0,99.22%,33,97.79%,419000,223,Metang,,0,,,,,,,,,
905,Beldum,,374,,682,86,15,14,10,86.7,25.0,25.0,,,,"2026-07-30 08:35","2026-07-30 08:35",3/3/2023,.13kg,70.74m,0,0,0,4000,30.23%,2858,93.93%,66000,83,Metang,,0,98.12%,78,96.67%,444000,245,Metang,,0,,,,,,,,,
906,Baltoy,,343,,124,42,12,14,13,86.7,6.0,6.0,,,,"2026-07-30 08:34","2026-07-30 08:34",9/20/2023,,,0,0,0,600,32.70%,2757,93.71%,88400,138,Claydol,,0,98.12%,78,96.97%,516400,344,Claydol,,0,66.69%,1365,93.33%,4400,56,Claydol,,0,
907,Baltoy,,343,,322,68,13,11,13,82.2,15.0,15.0,Confusion,Dig,,"2026-07-30 08:34","2026-07-30 08:34",7/27/2023,30.67kg,0.59m,0,0,0,1900,23.93%,3116,93.17%,68400,112,Claydol,,0,97.26%,113,96.41%,496400,318,Claydol,,0,34.97%,2664,90.33%,38400,36,Baltoy,,0,
908,Bagon,,371,♂,483,71,14,15,10,86.7,15.0,15.0,,,,"2026-07-30 08:34","2026-07-30 08:34",8/5/2023,3.31kg,,0,0,0,1900,24.35%,3099,93.44%,60400,79,Shelgon,,0,66.67%,1366,96.44%,41900,164,Salamence,Normal,0,74.02%,1065,94.17%,1900,2,Bagon,,0,
909,Bagon,,371,♀,486,73,13,14,15,93.3,15.0,15.0,,,,"2026-07-30 08:34","2026-07-30 08:34",2/13/2023,2.24kg,0.31m,0,0,0,1900,67.57%,1329,95.55%,60400,79,Shelgon,,0,88.47%,473,97.55%,41900,164,Salamence,Normal,0,25.25%,3062,90.92%,0,0,Bagon,,0,
910,Bagon,,371,♀,477,73,1,1,1,6.7,18.0,18.0,,,,"2026-07-30 08:34","2026-07-30 08:34",,,,0,0,0,1900,59.66%,1653,95.17%,89400,103,Shelgon,,0,24.25%,3103,94.78%,48400,167,Salamence,Normal,0,35.92%,2625,91.70%,2200,2,Bagon,,0,
911,Bagon,,371,♀,640,83,12,15,12,86.7,20.0,20.0,,,,"2026-07-30 08:34","2026-07-30 08:34",9/5/2023,59.34kg,0.68m,0,0,0,2500,86.01%,574,96.63%,43000,63,Shelgon,,0,66.45%,1375,96.43%,20500,144,Salamence,Normal,0,,,,,,,,,
912,Giratina,Altered,487,,1924,180,11,11,15,82.2,20.5,20.5,Dragon Breath,Shadow Sneak,,"2026-07-30 08:33","2021-10-14 12:45",10/14/2021,697.89kg,4.09m,0,0,0,2500,,,,,,,,,63.83%,1482,96.14%,40500,36,Giratina,Altered,0,,,,,,,,,
913,Azurill,,298,♀,204,90,15,12,15,93.3,20.0,20.0,,,,"2026-07-30 08:33","2026-07-30 08:33",4/10/2023,,70.19m,0,0,0,2500,22.54%,3173,92.75%,161000,210,Azumarill,,0,99.58%,18,98.20%,475000,298,Azumarill,,0,97.97%,84,96.87%,403000,273,Marill,,0,
914,Azurill,,298,♀,205,89,15,14,13,93.3,20.0,20.0,Splash,Bubble Beam,,"2026-07-30 08:33","2026-07-30 08:33",2/8/2023,1.4kg,0.17m,0,0,0,2500,31.99%,2786,93.37%,161000,210,Azumarill,,0,99.71%,13,98.41%,475000,298,Azumarill,,0,97.95%,85,96.84%,389000,273,Marill,,0,
915,Azurill,,298,♀,205,103,1,1,1,6.7,32.5,32.5,,,,"2026-07-30 08:33","2026-07-30 08:33",,,,0,0,0,2500,44.10%,2290,94.10%,372000,206,Azumarill,,0,0.32%,4083,76.65%,372000,206,Azumarill,,0,0.63%,4070,61.48%,372000,181,Marill,,0,
916,Aron,,304,♀,89,31,14,1,7,48.9,3.0,3.0,Metal Claw,Rock Tomb,,"2026-07-30 08:33","2022-09-08 15:54",8/3/2022,64.22kg,0.41m,0,0,0,400,8.03%,3767,91.97%,91200,119,Lairon,,0,14.26%,3512,94.17%,135200,257,Aggron,Normal,0,36.68%,2594,90.78%,7200,37,Lairon,,0,
917,Aron,,304,♂,727,90,15,7,15,82.2,20.0,20.0,,,,"2026-07-30 08:33","2026-07-30 08:33",4/10/2023,,,0,0,0,2500,44.35%,2280,94.22%,39000,59,Lairon,,0,30.89%,2831,94.99%,70000,187,Aggron,Normal,0,,,,,,,,,
918,Aron,,304,♂,731,90,1,1,1,6.7,24.0,24.0,,,,"2026-07-30 08:33","2026-07-30 08:33",,,,0,0,0,2500,80.78%,788,96.15%,51000,69,Lairon,,0,61.73%,1568,96.30%,137000,263,Aggron,Normal,0,,,,,,,,,
919,Aron,,304,♂,791,95,10,15,15,88.9,22.0,22.0,,,,"2026-07-30 08:33","2026-07-30 08:33",9/19/2023,36.6kg,0.33m,0,0,0,3000,61.71%,1569,95.06%,28000,49,Lairon,,0,44.27%,2283,95.57%,59000,177,Aggron,Normal,0,,,,,,,,,
920,Aron,,304,♂,822,95,1,1,1,6.7,27.0,27.0,,,,"2026-07-30 08:33","2026-07-30 08:33",,,,0,0,0,3000,80.78%,788,96.15%,28000,49,Lairon,,0,61.73%,1568,96.30%,114000,243,Aggron,Normal,0,,,,,,,,,
921,Ariados,,168,♂,1565,140,12,11,14,82.2,34.0,34.0,Infestation,Cross Poison,,"2026-07-30 08:33","2026-07-30 08:32",1/3/2023,22.49kg,1m,0,0,0,7000,,,,,,,,,96.17%,158,94.86%,352000,134,Ariados,,0,,,,,,,,,
922,Archen,,566,♀,1029,93,15,13,11,86.7,20.0,20.0,,,,"2026-07-30 08:32","2026-07-30 08:32",,5kg,70.41m,0,0,0,2500,46.35%,2198,94.75%,65000,58,Archen,,0,64.79%,1443,96.02%,43000,88,Archeops,,0,,,,,,,,,
923,Archen,,566,♂,1388,107,14,15,9,84.4,27.0,27.0,Quick Attack,Crunch,,"2026-07-30 08:32","2026-07-30 08:32",8/2/2023,6.28kg,0.38m,0,0,0,4500,59.15%,1674,95.32%,18000,16,Archen,,0,98.07%,80,95.87%,428000,206,Archen,,0,,,,,,,,,
924,Wobbuffet,,202,♀,330,182,11,14,12,82.2,12.0,12.0,Charm,Mirror Coat,,"2026-07-30 08:32","2021-10-24 17:48",9/9/2021,31.25kg,1.36m,0,0,0,1300,93.43%,270,93.32%,505400,280,Wobbuffet,,0,93.43%,270,93.32%,505400,280,Wobbuffet,,0,46.45%,2194,90.54%,21000,24,Wobbuffet,,0,
925,Dratini,,147,♂,550,80,13,11,13,82.2,20.0,20.0,,,,"2026-07-30 08:32","2026-07-30 08:32",12/11/2023,5.78kg,2.48m,0,0,0,2500,47.42%,2154,94.92%,80000,95,Dragonair,,0,72.92%,1110,96.34%,20500,144,Dragonite,Normal,0,,,,,,,,,
926,Cranidos,,408,♂,1028,108,15,13,15,95.6,20.0,20.0,,,,"2026-07-30 08:31","2026-07-30 08:31",12/14/2023,3.33kg,0.79m,0,0,0,2500,59.07%,1677,95.08%,65000,58,Cranidos,,0,59.27%,1669,95.66%,43000,88,Rampardos,,0,,,,,,,,,
927,Cranidos,,408,♂,1028,108,,,,94.4,20.0,20.0,Zen Headbutt,Bulldoze,,"2026-07-30 08:31","2026-07-30 08:31",,21.86kg,0.79m,0,0,0,2500,71.04%,697,96.51%,65000,58,Cranidos,,0,69.78%,808,96.60%,43000,88,Rampardos,,0,,,,,,,,,
928,Shinx,,403,♂,490,84,15,13,13,91.1,20.0,20.0,Tackle,Thunderbolt,,"2026-07-30 08:31","2026-07-30 08:31",12/18/2023,8.51kg,0.49m,0,0,0,2500,63.25%,1506,94.27%,256000,273,Luxio,,0,42.69%,2348,95.66%,85000,199,Luxray,,0,34.55%,2681,91.23%,0,0,Shinx,,0,
929,Shinx,,403,♂,490,86,4,4,4,26.7,24.0,24.0,,,,"2026-07-30 08:31","2026-07-30 08:31",12/18/2023,,,0,0,0,2500,10.89%,3650,89.14%,451000,251,Luxio,,0,26.40%,3015,95.04%,145000,273,Luxray,,0,28.28%,2938,90.73%,0,0,Shinx,,0,
930,Spheal,,363,♂,290,83,2,6,1,20.0,13.0,13.0,Rock Smash,Body Slam,,"2026-07-30 08:31","2026-07-30 08:31",12/22/2023,23.88kg,0.64m,0,0,0,1600,66.89%,1357,95.85%,283800,301,Sealeo,,0,70.62%,1204,96.65%,305800,401,Walrein,,0,53.02%,1925,92.65%,38800,38,Spheal,,0,
931,Delibird,,225,♂,911,100,14,15,9,84.4,30.0,30.0,Present,Aerial Ace,,"2026-07-30 08:31","2026-07-30 08:31",12/29/2023,9.55kg,0.86m,0,0,0,5000,98.34%,69,95.16%,400000,182,Delibird,,0,98.34%,69,95.16%,400000,182,Delibird,,0,,,,,,,,,
932,Delibird,,225,♂,911,103,4,4,4,26.7,39.5,39.5,,,,"2026-07-30 08:31","2026-07-30 08:31",12/29/2023,,,0,0,0,5000,9.65%,3701,75.75%,260000,15,Delibird,,0,9.65%,3701,75.75%,260000,15,Delibird,,0,,,,,,,,,
933,Scatterbug,,664,♀,197,65,12,13,11,80.0,15.0,15.0,,,,"2026-07-30 08:31","2026-07-30 08:31",12/30/2023,,,0,0,0,1900,42.08%,2373,94.44%,86400,203,Vivillon,,0,95.21%,197,94.51%,496400,393,Vivillon,,0,98.53%,61,96.91%,466400,293,Spewpa,,0,
934,Delibird,,225,♂,764,97,3,14,13,66.7,27.0,27.0,Present,Triple Axel,,"2026-07-30 08:31","2026-07-30 08:30",12/31/2023,11.13kg,0.8m,0,0,0,4500,85.10%,611,89.22%,428000,206,Delibird,,0,85.10%,611,89.22%,428000,206,Delibird,,0,,,,,,,,,
935,Hoothoot,,163,♂,118,56,11,7,8,57.8,7.0,7.0,Peck,Aerial Ace,,"2026-07-30 08:30","2026-07-30 08:30",1/1/2024,20.17kg,0.74m,0,0,0,800,40.63%,2432,94.23%,91700,140,Noctowl,,0,67.18%,1345,90.16%,515200,342,Noctowl,,0,35.63%,2637,91.18%,3200,54,Noctowl,,0,
936,Seedot,,273,♀,95,42,15,10,12,82.2,6.0,6.0,Quick Attack,Energy Ball,,"2026-07-30 08:30","2026-07-30 08:30",1/11/2024,2.43kg,0.39m,0,0,0,600,56.00%,1803,95.21%,58400,187,Shiftry,,0,80.27%,809,96.34%,444400,419,Shiftry,,0,24.44%,3095,90.16%,2000,128,Shiftry,,0,
937,Munchlax,,446,♂,1045,177,11,15,11,82.2,20.0,20.0,Lick,Bulldoze,,"2026-07-30 08:30","2026-07-30 08:30",1/13/2024,64.54kg,0.53m,0,0,0,2500,53.21%,1917,95.12%,60500,54,Munchlax,,0,42.17%,2369,95.44%,51500,96,Snorlax,,0,,,,,,,,,
938,Spritzee,,682,♂,616,113,11,12,15,84.4,18.0,18.0,Charge Beam,Thunderbolt,,"2026-07-30 08:30","2026-07-30 08:30",1/14/2024,0.33kg,0.16m,0,0,0,2200,74.14%,1060,96.11%,26400,74,Aromatisse,,0,92.75%,298,97.55%,412400,306,Aromatisse,,0,,,,,,,,,
939,Stufful,,759,♀,738,111,10,13,14,82.2,20.0,20.0,Tackle,Brick Break,,"2026-07-30 08:30","2026-07-30 08:30",1/18/2024,3.69kg,0.4m,0,0,0,2500,96.46%,146,96.24%,475000,248,Stufful,,0,45.76%,2222,95.62%,60500,454,Bewear,,0,,,,,,,,,
940,Sableye,Normal,302,♂,850,92,5,3,8,35.6,23.0,23.0,,,,"2026-07-30 08:29","2026-07-30 08:29",1/19/2024,8.08kg,0.42m,0,0,0,3500,23.44%,3136,91.36%,458000,232,Sableye,Normal,0,20.81%,3244,82.08%,458000,232,Sableye,Normal,0,,,,,,,,,
941,Sableye,Normal,302,♀,544,74,10,3,13,57.8,14.0,14.0,,,,"2026-07-30 08:29","2026-07-30 08:29",1/21/2024,,,0,0,0,1600,62.47%,1538,93.97%,427600,272,Sableye,Normal,0,67.79%,1320,88.40%,499600,272,Sableye,Normal,0,,,,,,,,,
942,Togepi,,175,♂,373,75,15,13,15,95.6,20.0,20.0,Peck,Psyshock,,"2026-07-30 08:29","2026-07-30 08:29",1/24/2024,1.24kg,0.29m,0,0,0,2500,39.71%,2470,94.21%,91000,105,Togetic,,0,34.02%,2703,94.92%,39000,159,Togekiss,,0,19.27%,3307,88.29%,43000,38,Togepi,,0,
943,Lechonk,,915,♂,406,94,13,14,14,91.1,20.0,20.0,Take Down,Trailblaze,,"2026-07-30 08:29","2026-07-30 08:29",1/25/2024,9.7kg,0.45m,0,0,0,2500,20.34%,3263,93.50%,0,50,Oinkologne,Male,0,61.42%,1581,96.57%,187000,244,Oinkologne,Male,0,53.70%,1897,91.81%,27500,25,Lechonk,,0,
944,Foongus,,590,♀,679,120,13,15,11,86.7,25.0,25.0,Astonish,Body Slam,,"2026-07-30 08:28","2026-07-30 08:28",1/26/2024,0.74kg,0.18m,0,0,0,4000,70.28%,1218,95.49%,0,50,Amoonguss,,0,98.88%,47,97.48%,444000,270,Amoonguss,,0,,,,,,,,,
945,Foongus,,590,♀,614,120,2,2,2,13.3,27.5,27.5,,,,"2026-07-30 08:28","2026-07-30 08:28",,,,0,0,0,4000,33.92%,2707,93.63%,4500,54,Amoonguss,,0,1.61%,4030,80.35%,423500,252,Amoonguss,,0,,,,,,,,,
946,Stufful,,759,♂,564,96,15,10,14,86.7,15.0,15.0,Tackle,Stomp,,"2026-07-30 08:28","2026-07-30 08:28",1/26/2024,377gkg,70.54m,0,0,0,1900,97.22%,115,96.77%,496400,268,Stufful,,0,48.69%,2102,95.74%,81900,474,Bewear,,0,,,,,,,,,
947,Stufful,,759,♂,564,96,,,,88.9,15.0,15.0,Tackle,Stomp,,"2026-07-30 08:28","2026-07-30 08:28",,7.4kg,0.54m,0,0,0,1900,98.83%,5,99.32%,496400,268,Stufful,,0,72.50%,387,97.77%,81900,474,Bewear,,0,,,,,,,,,
948,Beldum,,374,,532,80,11,13,14,84.4,20.0,20.0,Take Down,Struggle,,"2026-07-30 08:28","2026-07-30 08:28",2/16/2024,124.98kg,0.67m,0,0,0,2500,59.17%,1673,95.49%,109000,123,Metang,,0,91.45%,351,97.72%,20500,144,Metagross,Normal,0,,,,,,,,,
949,Beldum,,374,,536,78,13,12,12,82.2,20.0,20.0,Take Down,Struggle,,"2026-07-30 08:28","2026-07-30 08:28",3/5/2024,23.39kg,0.32m,0,0,0,2500,31.55%,2804,93.98%,103000,117,Metang,,0,71.36%,1174,96.55%,20500,144,Metagross,Normal,0,,,,,,,,,
950,Castform,Rainy,351,♀,1129,121,8,15,6,64.4,26.0,26.0,Tackle,Weather Ball,,"2026-07-30 08:27","2026-07-30 08:27",3/15/2024,0.56kg,0.24m,0,0,0,4000,67.03%,1351,96.05%,166000,184,Castform,Rainy,0,80.39%,804,90.59%,436000,214,Castform,Rainy,0,,,,,,,,,
951,Rockruff,,744,♀,393,73,14,10,15,86.7,15.0,15.0,Tackle,Rock Tomb,,"2026-07-30 08:27","2026-07-30 08:27",12/25/2024,10.47kg,0.44m,0,0,0,1900,87.11%,529,96.73%,21400,70,Lycanroc,Midday,0,62.64%,1531,96.45%,158400,200,Lycanroc,Midnight,0,60.61%,1614,93.46%,16400,16,Rockruff,,0,
